l1_name,brand_a,brand_b,distance,similarity,oh_a,oh_b,lwu_a,lwu_b,price_a,price_b
3200-BEAUTY,URBAN EXPRESSIONS,URBAN HOME,0.1026,0.907,14,12,9,1,8.99,7.94
3110-MISSES SPORTSWEAR,COCOMO,RIO AND REIN,0.1035,0.9062,80,48,57,74,12.33,12.54
3200-BEAUTY,IT HAIR CARE,LOVE BEAUTY,0.1039,0.9059,29,27,75,63,5.65,4.61
3325-MENS OUTDOOR,HEYBO,REALTREE,0.1045,0.9054,382,298,28,16,12.42,12.67
3200-BEAUTY,CARIBBEAN JOE,KIEHL__IA_CHAR_01S,0.1046,0.9053,78,68,21,43,12.21,12.62
3130-JUNIORS,JUICY COUTURE,REBELLION,0.1048,0.9051,237,260,41,72,19.3,19.06
3430-CHILDRENS ACCESS,SPIDERMAN,TAHARI,0.1056,0.9045,133,129,280,351,7.48,7.76
3125-PETITES SPORTSWEAR,BELLA ROSE,JESSICA RILEY,0.1057,0.9044,13,13,19,10,11.28,10.99
3115-MISSES BETTER SPORTSWEAR,SALTWATER LUXE,VINTAGE HAVANA,0.1058,0.9043,80,37,17,1,16.89,16.99
3415-BOYS APPAREL,FILA,KENNETH COLE,0.1074,0.903,66,72,36,58,12.74,12.55
3430-CHILDRENS ACCESS,MINNIE MOUSE,NAUTICA,0.1074,0.903,24,33,2,86,5.78,5.63
3110-MISSES SPORTSWEAR,COCOMO,TEEZ-HER,0.1091,0.9016,80,77,57,158,12.33,12.53
3510-LADIES FOOTWEAR,EUROSOFT,SPERRY,0.1105,0.9005,214,207,36,48,26.92,27.73
3510-LADIES FOOTWEAR,NINE WEST,SAM EDELMAN,0.1112,0.8999,518,525,134,118,27.83,28.43
3110-MISSES SPORTSWEAR,MARISSA OLIVIA,THOMAS __IA_CHAR_13 OLIVIA,0.112,0.8993,6,44,2,90,11.99,11.82
3200-BEAUTY,EPIELLE,YAFA,0.1126,0.8988,68,66,231,269,6.63,7.36
3340-MENS FURN-ACC,LEE,VAN HEUSEN,0.1144,0.8973,32,40,13,33,9.79,9.68
3430-CHILDRENS ACCESS,DAISY FUENTES,OMG ACCESSORIES,0.1145,0.8973,133,151,61,8,8.63,8.92
3200-BEAUTY,AMERICAN EXCHANGE,OLE HENRIKSEN,0.115,0.8969,32,32,59,34,10.86,9.81
3620-HOUSEWARES,DOLLY PARTON,NICOLE MILLER,0.1151,0.8968,12,25,14,21,4.66,5.15
3310-MENS SPORTSWEAR,DKNY,RAIDER,0.1152,0.8967,65,28,71,99,21.94,21.88
3120-PLUS SPORTSWEAR,ADRIANNA PAPELL,FIGUEROA __IA_CHAR_13 FLOWER,0.1152,0.8967,32,59,19,19,18.29,17.97
3140-LADIES SPORTS,ADIDAS,UNDER ARMOUR,0.116,0.8961,266,262,109,36,19.18,18.95
3110-MISSES SPORTSWEAR,ADRIENNE VITTADINI,CYRUS,0.1165,0.8956,270,231,189,182,14.59,14.83
3110-MISSES SPORTSWEAR,KAY UNGER,TEEZ-HER,0.1172,0.8951,11,77,106,158,12.6,12.53
3110-MISSES SPORTSWEAR,3RD __IA_CHAR_13 MALT,SET THE STAGE,0.1176,0.8948,60,25,335,299,10.76,11.0
3200-BEAUTY,NOT YOUR MOTHERS,SIMPLY SOUTHERN,0.1182,0.8943,125,128,200,150,6.67,6.49
3200-BEAUTY,OASIS,ONE N ONLY,0.1188,0.8938,20,21,139,94,10.02,9.4
3430-CHILDRENS ACCESS,DANSKIN,JUICY COUTURE,0.1197,0.8931,66,52,92,83,7.68,7.24
3120-PLUS SPORTSWEAR,BLEU,WORKSHOP,0.1209,0.8921,109,148,35,35,16.37,16.13
3200-BEAUTY,FREIDA __IA_CHAR_20 JOE,PARIS HILTON,0.121,0.8921,72,84,102,80,14.82,15.3
3410-GIRLS APPAREL,JAPNA,YOGALICIOUS,0.1229,0.8906,114,84,52,61,15.12,15.16
3200-BEAUTY,BETSEY JOHNSON,MANTHM,0.125,0.8889,34,29,25,65,7.9,7.11
3130-JUNIORS,HURLEY,INSPIRED CULTURE,0.1254,0.8885,82,113,4,43,12.49,12.3
3165-HANDBAGS,CARIBBEAN JOE,EMPERIA,0.1276,0.8869,36,19,2,9,21.74,21.02
3145-SWIM,BEACH HOUSE,STELLA PARKER,0.1278,0.8867,70,60,26,7,28.62,28.74
3200-BEAUTY,LUSETA,NATURE SPELL,0.1278,0.8867,18,30,106,139,6.33,6.6
3160-ACCESSORIES,BEBE,ELLEN TRACY,0.1283,0.8863,21,21,25,23,9.45,9.0
3200-BEAUTY,BEVERLY HILLS POLO CLUB,HOLLISTER,0.1291,0.8856,82,68,329,349,12.83,13.16
3200-BEAUTY,R.E.M.,SAVON DE ROYAL,0.1301,0.8848,77,90,102,107,7.57,8.32
3145-SWIM,CECE,IN GEAR,0.131,0.8842,194,223,3,1,19.79,19.99
3200-BEAUTY,BRIOGEO,LIFEGUARD,0.1313,0.884,49,57,17,24,11.79,10.61
